x,y,station
-371.82,283.0392,0
-370.0325,281.6534,0
-368.4561,280.6578,0
-366.5594,279.4381,0
-364.6533,278.2333,0
-362.578,276.9886,0
-360.9961,276.023,0
-359.2281,274.7615,0
-357.6956,273.1402,0
-356.6211,271.4022,0
-356.0885,269.8051,0
-355.8669,267.5909,0
-355.8135,265.7329,0
-355.581,263.3412,0
-355.356,261.1091,0
-354.9398,258.8929,0
-354.6747,257.2256,0
-354.338,254.6515,0
-354.1035,252.7908,0
-354.4591,250.6108,0
-355.2359,248.7242,0
-356.0301,247.032,0
-356.892,244.973,0
-357.5122,242.8164,1
-357.9278,241.0046,0
-358.37,238.8159,0
-358.4397,236.586,0
-358.0648,234.5917,0
-357.4528,232.2462,0
-356.9612,230.6251,0
-356.317,228.4583,0
-355.6403,226.3075,0
-355.0518,224.7366,0
-354.0419,225.2007,0
-352.8526,227.5266,0
-352.1818,229.2688,0
-352.0794,231.1173,0
-352.8481,233.1797,0
-354.0096,235.0932,0
-355.2923,237.1386,0
-356.1034,238.6255,0
-356.9568,240.2894,0
-358.2149,242.7717,0
-359.04,244.4498,0
-359.9855,246.4953,0
-360.3552,248.321,0
-360.5465,250.7238,0
-360.2171,249.252,0
-359.9218,247.5896,0
-359.5758,245.1833,0
-359.3625,243.5139,1
-359.0587,241.102,0
-358.8452,239.4216,0
-358.6231,237.0094,0
-358.7344,235.1468,0
-359.6659,232.9257,0
-360.4183,230.6238,0
-360.819,228.9836,0
-361.3805,227.0391,0
-361.9286,224.8577,0
-362.3353,223.0324,0
-362.5904,220.6406,0
-362.6657,218.387,0
-362.7039,216.5229,0
-362.7483,214.2629,0
-362.7544,212.3929,0
-362.3582,210.0025,1
-362.3657,207.9703,0
-362.1207,205.5782,0
-361.7223,203.9374,0
-361.4496,201.5241,0
-361.459,199.6507,0
-361.7071,197.7929,0
-362.1005,195.5783,1
-362.5782,193.1835,0
-362.8439,191.1719,0
-363.0676,189.493,0
-363.5146,186.9302,0
-363.83,185.0871,0
-364.1526,182.8553,0
-364.4728,180.612,0
-364.791,178.3851,0
-365.0577,176.7233,0
-365.4175,174.4972,0
-365.7391,172.8401,0
